target,k,basket,ols_beta,resid_var,r_squared,adf_p,half_life,S_idx,target_idx,basket_str
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.5543127021141231, 0.8743423205640041]",414617.98775158473,0.5437963848395634,0.007902949446352687,1341.9893789998648,"[0, 3]",4,OXYGEN_SHAKE_GARLIC + 0.554*OXYGEN_SHAKE_MORNING_BREATH − 0.874*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.32282573382269186, 1.0260164634293927]",504532.60694863996,0.44486345007734307,0.025206330864215445,1617.3166831725296,"[2, 3]",4,OXYGEN_SHAKE_GARLIC + 0.323*OXYGEN_SHAKE_MINT − 1.026*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.5055607150262554, 1.1392723800848243]",489473.1260462961,0.46143337669182716,0.034515552603877585,1503.238994868441,"[1, 3]",4,OXYGEN_SHAKE_GARLIC + 0.506*OXYGEN_SHAKE_EVENING_BREATH − 1.139*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_CHOCOLATE,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[0.01674210988010318, 0.3861496901976198]",183114.32919929776,0.41732263996090513,0.04108254890668156,1403.4489290572394,"[0, 4]",3,OXYGEN_SHAKE_CHOCOLATE − 0.017*OXYGEN_SHAKE_MORNING_BREATH − 0.386*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_CHOCOLATE,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[-0.04862656816148071, 0.37143462416635753]",182648.99825804494,0.41880334223898086,0.04804004288476092,1431.393593365211,"[2, 4]",3,OXYGEN_SHAKE_CHOCOLATE + 0.049*OXYGEN_SHAKE_MINT − 0.371*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_CHOCOLATE,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[0.28782382379594507, 0.39614460639305404]",170198.22673411143,0.4584222115745399,0.05042401158242644,1315.1851699273072,"[1, 4]",3,OXYGEN_SHAKE_CHOCOLATE − 0.288*OXYGEN_SHAKE_EVENING_BREATH − 0.396*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT']","[-0.16127770131878408, -0.19031326344648414]",134512.1661056702,0.1585200631600685,0.06878372268566119,1277.489918808539,"[0, 2]",1,OXYGEN_SHAKE_EVENING_BREATH + 0.161*OXYGEN_SHAKE_MORNING_BREATH + 0.190*OXYGEN_SHAKE_MINT
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.23226622712121997, 0.02919831294628725]",144701.68968819705,0.09477653787985052,0.08596746290277768,1394.054263485156,"[2, 3]",1,OXYGEN_SHAKE_EVENING_BREATH + 0.232*OXYGEN_SHAKE_MINT − 0.029*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.1964127530082469, 0.0018267457789105635]",143320.13457880972,0.10341925726981893,0.09376169423810365,1394.7591034233144,"[0, 3]",1,OXYGEN_SHAKE_EVENING_BREATH + 0.196*OXYGEN_SHAKE_MORNING_BREATH − 0.002*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-0.3533334568137597, -0.1919298266408482]",120262.58795347859,0.24766243942722477,0.1073879064325457,1192.8744448358236,"[0, 4]",1,OXYGEN_SHAKE_EVENING_BREATH + 0.353*OXYGEN_SHAKE_MORNING_BREATH + 0.192*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[-0.3060441035540314, -0.10930621673682855]",135213.33137029968,0.15413372012748916,0.12766815244781932,1380.6169218710943,"[2, 4]",1,OXYGEN_SHAKE_EVENING_BREATH + 0.306*OXYGEN_SHAKE_MINT + 0.109*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_EVENING_BREATH,2,"['OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[0.2465157992227939, -0.1505627428677983]",145771.64369620493,0.08808312971353782,0.17551584487703797,1513.2708392465136,"[3, 4]",1,OXYGEN_SHAKE_EVENING_BREATH − 0.247*OXYGEN_SHAKE_CHOCOLATE + 0.151*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MORNING_BREATH,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_GARLIC']","[-0.6609339180586163, -0.41966399034247087]",224959.2330393383,0.47210051834197453,0.2128298413857223,1737.9370546333278,"[1, 4]",0,OXYGEN_SHAKE_MORNING_BREATH + 0.661*OXYGEN_SHAKE_EVENING_BREATH + 0.420*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MORNING_BREATH,2,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_GARLIC']","[0.08848070827044363, -0.36688799999978805]",291687.3407210279,0.3155133314936579,0.2862564831067749,2917.2068694943387,"[2, 4]",0,OXYGEN_SHAKE_MORNING_BREATH − 0.088*OXYGEN_SHAKE_MINT + 0.367*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MORNING_BREATH,2,"['OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[0.026822637806426696, -0.39221149574779807]",293368.5995644226,0.31156801366886866,0.2891432248652866,2856.390727365238,"[3, 4]",0,OXYGEN_SHAKE_MORNING_BREATH − 0.027*OXYGEN_SHAKE_CHOCOLATE + 0.392*OXYGEN_SHAKE_GARLIC
OXYGEN_SHAKE_MINT,2,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE']","[-0.35691730095743757, -0.1947555450236262]",222359.21755657395,0.13877223728684784,0.323478600249809,2676.0240106311944,"[1, 3]",2,OXYGEN_SHAKE_MINT + 0.357*OXYGEN_SHAKE_EVENING_BREATH + 0.195*OXYGEN_SHAKE_CHOCOLATE
OXYGEN_SHAKE_MINT,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH']","[0.12386790575542855, -0.32295512184774794]",228262.56146291608,0.11590777625459125,0.3280146742225634,2842.938468371857,"[0, 1]",2,OXYGEN_SHAKE_MINT − 0.124*OXYGEN_SHAKE_MORNING_BREATH + 0.323*OXYGEN_SHAKE_EVENING_BREATH
OXYGEN_SHAKE_GARLIC,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH']","[-0.979859831712703, -0.8382585605621741]",525250.0126309667,0.4220681164250908,0.3431749545665539,2419.2912518469607,"[0, 1]",4,OXYGEN_SHAKE_GARLIC + 0.980*OXYGEN_SHAKE_MORNING_BREATH + 0.838*OXYGEN_SHAKE_EVENING_BREATH
