section,recipe,p_value,half_life
§11 best integer K=3,OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH + OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_CHOCOLATE,0.007470610979643013,866.7573009499081
§11 best integer K=4,OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH + OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_CHOCOLATE,0.007470610979643013,866.7573009499081
§10 best continuous K=2,OXYGEN_SHAKE_GARLIC + 0.554*OXYGEN_SHAKE_MORNING_BREATH − 0.874*OXYGEN_SHAKE_CHOCOLATE,0.007902949446352687,1341.9893789998648
§10 best continuous K=3,OXYGEN_SHAKE_GARLIC + 0.720*OXYGEN_SHAKE_MORNING_BREATH + 0.841*OXYGEN_SHAKE_EVENING_BREATH − 0.876*OXYGEN_SHAKE_CHOCOLATE,0.008315348835428886,958.8027975666159
§10 best continuous K=4,OXYGEN_SHAKE_GARLIC + 0.690*OXYGEN_SHAKE_MORNING_BREATH + 0.971*OXYGEN_SHAKE_EVENING_BREATH + 0.402*OXYGEN_SHAKE_MINT − 0.809*OXYGEN_SHAKE_CHOCOLATE,0.008505435747327093,862.3588629589659
§11 best integer K=2,OXYGEN_SHAKE_GARLIC + OXYGEN_SHAKE_MORNING_BREATH − OXYGEN_SHAKE_CHOCOLATE,0.010310269099041465,1310.149636426078
§12 best pure integer k=2,− 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,0.013542462628662585,1244.9034499801708
§12 best pure integer k=3,− 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,0.013542462628662585,1244.9034499801708
§12 best pure integer k=4,4*OXYGEN_SHAKE_CHOCOLATE − 2*OXYGEN_SHAKE_GARLIC,0.013542462628662585,1244.9034499801708
§10 best continuous K=1,OXYGEN_SHAKE_GARLIC − 1.098*OXYGEN_SHAKE_CHOCOLATE,0.01868731709159241,1584.374917615196
§7 best integer pair,OXYGEN_SHAKE_CHOCOLATE − 1·OXYGEN_SHAKE_GARLIC,0.026834435242203712,1731.1018713307408
§11 best integer K=1,OXYGEN_SHAKE_GARLIC − OXYGEN_SHAKE_CHOCOLATE,0.026834435242203712,1731.1018713307408
§12 best pure integer k=5,2*OXYGEN_SHAKE_MORNING_BREATH + 4*OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT − OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,0.04606215219915115,836.117742123947
§6 best OLS pair,OXYGEN_SHAKE_CHOCOLATE − 0.380·OXYGEN_SHAKE_GARLIC,0.12995615735250188,1418.5074786564426
§9 best product-vs-index residual,OXYGEN_SHAKE_CHOCOLATE − (9556.88 + 1291.478·index),0.13766933347057747,1456.397936926095
