section,what,score,metric
§16 dCor − |Pearson|,OXYGEN_SHAKE_MORNING_BREATH ↔ OXYGEN_SHAKE_GARLIC,0.045741514407641286,"dCor=0.059, |Pearson|=0.013"
§17 tail co-move (contemp.),OXYGEN_SHAKE_GARLIC → OXYGEN_SHAKE_CHOCOLATE,1.186329718621971,P(tail_b|tail_a)=0.037
§17 tail lead (lag 1),OXYGEN_SHAKE_CHOCOLATE → OXYGEN_SHAKE_EVENING_BREATH,1.3594846475078683,P(tail_b@t+1 | tail_a@t) lift
§18 vol-cluster sibling,OXYGEN_SHAKE_MINT ↔ OXYGEN_SHAKE_GARLIC,0.00801800876555822,"corr(|ret|)=0.011, Pearson(ret)=0.003"
§19 asymmetric lead-lag,OXYGEN_SHAKE_GARLIC → OXYGEN_SHAKE_MORNING_BREATH,0.009819473320468484,"up=0.015, dn=0.005"
§19 best Granger,OXYGEN_SHAKE_MINT ⇒ OXYGEN_SHAKE_GARLIC (lag 10),2.151950142942055,p=7.05e-03
§20 OBI(a) → ret(b) cross,OXYGEN_SHAKE_MORNING_BREATH obi → OXYGEN_SHAKE_GARLIC ret,-0.05827782343649112,corr_lead_1=-0.058
§21 co-jump (contemp.),OXYGEN_SHAKE_EVENING_BREATH ↔ OXYGEN_SHAKE_MINT,0.0,"n_ab=0, z=-0.0"
§21 co-jump lead (lag 1),OXYGEN_SHAKE_EVENING_BREATH → OXYGEN_SHAKE_MINT,0.0,n_ab_lag1=0
§22 trade-flow(a) → ret(b),OXYGEN_SHAKE_MORNING_BREATH flow → OXYGEN_SHAKE_MINT ret,-0.07320946513417693,corr_lead_0=-0.073
§23 peak coherence,OXYGEN_SHAKE_EVENING_BREATH ↔ OXYGEN_SHAKE_CHOCOLATE,0.16694379086668204,"peak f=0.4512, lo=0.019 hi=0.021"
§23 freq-band imbalance,OXYGEN_SHAKE_MORNING_BREATH ↔ OXYGEN_SHAKE_EVENING_BREATH,0.005112470338495878,"low=0.023, high=0.017"
