k,basket,int_coefs,basket_str,max_abs_coef,combo_var,var_ratio,adf_p,half_life
2,"['OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[-4, 2]",− 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,3141403.431364331,0.3625981219735422,0.013542462628662585,1244.9034499801708
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[0, -4, 2]",− 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,3141403.431364331,0.3625981219735422,0.013542462628662585,1244.9034499801708
3,"['OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[0, -4, 2]",− 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,3141403.431364331,0.3625981219735422,0.013542462628662585,1244.9034499801708
4,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[0, 0, 4, -2]",4*OXYGEN_SHAKE_CHOCOLATE − 2*OXYGEN_SHAKE_GARLIC,4,3141403.431364331,0.3625981219735422,0.013542462628662585,1244.9034499801708
4,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[2, 4, -2, 2]",2*OXYGEN_SHAKE_MORNING_BREATH + 4*OXYGEN_SHAKE_EVENING_BREATH − 2*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,2052311.4402365342,0.22418306905170307,0.024728159652626397,822.2606892754403
5,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[2, 4, 1, -1, 2]",2*OXYGEN_SHAKE_MORNING_BREATH + 4*OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT − OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,1786617.9744109348,0.2109343171287074,0.04606215219915115,836.117742123947
3,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT']","[1, 4, 1]",OXYGEN_SHAKE_MORNING_BREATH + 4*OXYGEN_SHAKE_EVENING_BREATH + OXYGEN_SHAKE_MINT,4,2234120.391650748,0.6891266005398923,0.06587944978896686,1263.4316342951306
4,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[-1, -4, -1, 0]",− OXYGEN_SHAKE_MORNING_BREATH − 4*OXYGEN_SHAKE_EVENING_BREATH − OXYGEN_SHAKE_MINT,4,2234120.391650748,0.6891266005398923,0.06587944978896686,1263.4316342951306
3,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_CHOCOLATE', 'OXYGEN_SHAKE_GARLIC']","[4, -4, 2]",4*OXYGEN_SHAKE_EVENING_BREATH − 4*OXYGEN_SHAKE_CHOCOLATE + 2*OXYGEN_SHAKE_GARLIC,4,4054734.2845510026,0.3613450394154541,0.07363060127537607,1218.0933596263449
3,"['OXYGEN_SHAKE_EVENING_BREATH', 'OXYGEN_SHAKE_MINT', 'OXYGEN_SHAKE_CHOCOLATE']","[4, 2, 0]",4*OXYGEN_SHAKE_EVENING_BREATH + 2*OXYGEN_SHAKE_MINT,4,2598042.8351533087,0.7236112274270606,0.07515909685581774,1370.0264491364596
