target,target_group,k,basket,basket_groups,n_groups,cross_group,ols_beta,resid_var,r_squared,S_idx,target_idx,adf_p,half_life,basket_str
SNACKPACK_CHOCOLATE,snackpacks,2,"['TRANSLATOR_VOID_BLUE', 'PANEL_1X2']","['panels', 'translators']",2,True,"[-0.2691652554998711, -0.20860110617756633]",13416.496366835287,0.6670226942501986,"[34, 35]",45,4.111569278492904e-06,335.2091982967747,SNACKPACK_CHOCOLATE + 0.269*TRANSLATOR_VOID_BLUE + 0.209*PANEL_1X2
SNACKPACK_PISTACHIO,snackpacks,2,"['PEBBLES_XS', 'UV_VISOR_ORANGE']","['pebbles', 'uv_visors']",2,True,"[0.13934219986726212, 0.15424371238251144]",10630.881686618151,0.6975843817065798,"[15, 27]",47,2.2363291185704606e-05,415.585968650572,SNACKPACK_PISTACHIO − 0.139*PEBBLES_XS − 0.154*UV_VISOR_ORANGE
SNACKPACK_VANILLA,snackpacks,2,"['TRANSLATOR_VOID_BLUE', 'PANEL_1X2']","['panels', 'translators']",2,True,"[0.18060340879806266, 0.20418863360859632]",14672.889718146238,0.5395499559490797,"[34, 35]",46,2.6961650651108426e-05,410.1330265419394,SNACKPACK_VANILLA − 0.181*TRANSLATOR_VOID_BLUE − 0.204*PANEL_1X2
SNACKPACK_PISTACHIO,snackpacks,2,"['PEBBLES_M', 'OXYGEN_SHAKE_GARLIC']","['oxygen_shakes', 'pebbles']",2,True,"[-0.10957321646520553, -0.10501374547681194]",11096.85035858455,0.6843290179284781,"[17, 44]",47,4.085177654737389e-05,456.6796200426159,SNACKPACK_PISTACHIO + 0.110*PEBBLES_M + 0.105*OXYGEN_SHAKE_GARLIC
SNACKPACK_PISTACHIO,snackpacks,2,"['TRANSLATOR_SPACE_GRAY', 'OXYGEN_SHAKE_GARLIC']","['oxygen_shakes', 'translators']",2,True,"[-0.15924760769209928, -0.21370694092933837]",12458.929200445651,0.6455820985977592,"[30, 44]",47,7.02194256099963e-05,463.04121463616065,SNACKPACK_PISTACHIO + 0.159*TRANSLATOR_SPACE_GRAY + 0.214*OXYGEN_SHAKE_GARLIC
SNACKPACK_PISTACHIO,snackpacks,2,"['PEBBLES_M', 'PEBBLES_XL']",['pebbles'],1,True,"[-0.14536909152105762, -0.04947167017820577]",11272.420142603056,0.6793346020039333,"[17, 19]",47,7.178065214445249e-05,473.1139465379161,SNACKPACK_PISTACHIO + 0.145*PEBBLES_M + 0.049*PEBBLES_XL
SNACKPACK_CHOCOLATE,snackpacks,2,"['ROBOT_MOPPING', 'OXYGEN_SHAKE_CHOCOLATE']","['oxygen_shakes', 'robots']",2,True,"[-0.14099928413221305, -0.1524919116380552]",15459.759672596436,0.6163119653171526,"[21, 43]",45,9.409480329234837e-05,437.17331826174643,SNACKPACK_CHOCOLATE + 0.141*ROBOT_MOPPING + 0.152*OXYGEN_SHAKE_CHOCOLATE
SNACKPACK_PISTACHIO,snackpacks,2,"['OXYGEN_SHAKE_MORNING_BREATH', 'OXYGEN_SHAKE_GARLIC']",['oxygen_shakes'],1,True,"[0.10249528703413305, -0.10962228767003146]",11952.71586675776,0.65998229820569,"[40, 44]",47,9.64534176326323e-05,508.69920980275634,SNACKPACK_PISTACHIO − 0.102*OXYGEN_SHAKE_MORNING_BREATH + 0.110*OXYGEN_SHAKE_GARLIC
SNACKPACK_PISTACHIO,snackpacks,2,"['MICROCHIP_RECTANGLE', 'OXYGEN_SHAKE_GARLIC']","['microchips', 'oxygen_shakes']",2,True,"[0.106367202179282, -0.10155726369549707]",10664.351478011995,0.6966322699291284,"[13, 44]",47,0.00011281689566488885,478.49021284057403,SNACKPACK_PISTACHIO − 0.106*MICROCHIP_RECTANGLE + 0.102*OXYGEN_SHAKE_GARLIC
SNACKPACK_PISTACHIO,snackpacks,2,"['ROBOT_IRONING', 'TRANSLATOR_ASTRO_BLACK']","['robots', 'translators']",2,True,"[0.1495857078132269, 0.12639324886562886]",11100.721551932715,0.6842188944820482,"[24, 31]",47,0.00016146176818086961,490.25503707423616,SNACKPACK_PISTACHIO − 0.150*ROBOT_IRONING − 0.126*TRANSLATOR_ASTRO_BLACK
