a,b,group_a,group_b,corr,abs_corr,cross_group,label
PEBBLES_XS,UV_VISOR_AMBER,pebbles,uv_visors,0.9582978958301704,0.9582978958301704,True,pearson_level
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,sleep_pods,uv_visors,-0.940922047238229,0.940922047238229,True,pearson_level
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,-0.9258729584924743,0.9258729584924743,False,pearson_level
SLEEP_POD_SUEDE,MICROCHIP_SQUARE,sleep_pods,microchips,0.9184890103606063,0.9184890103606063,True,pearson_level
MICROCHIP_SQUARE,UV_VISOR_AMBER,microchips,uv_visors,-0.9141512704655098,0.9141512704655098,True,pearson_level
MICROCHIP_SQUARE,PEBBLES_XS,microchips,pebbles,-0.9137680533902138,0.9137680533902138,True,pearson_level
UV_VISOR_AMBER,SNACKPACK_STRAWBERRY,uv_visors,snackpacks,-0.8936286230056406,0.8936286230056406,True,pearson_level
SLEEP_POD_POLYESTER,PEBBLES_XS,sleep_pods,pebbles,-0.893289756034616,0.893289756034616,True,pearson_level
SLEEP_POD_SUEDE,UV_VISOR_AMBER,sleep_pods,uv_visors,-0.8909262809414851,0.8909262809414851,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,galaxy_sounds,oxygen_shakes,0.8853271795478015,0.8853271795478015,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,galaxy_sounds,pebbles,-0.8850039410192105,0.8850039410192105,True,pearson_level
PEBBLES_S,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,-0.8840357726465092,0.8840357726465092,True,pearson_level
MICROCHIP_OVAL,ROBOT_IRONING,microchips,robots,0.8823250697613839,0.8823250697613839,True,pearson_level
MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,microchips,microchips,-0.8822983028170498,0.8822983028170498,False,pearson_level
SLEEP_POD_POLYESTER,MICROCHIP_SQUARE,sleep_pods,microchips,0.8793993760667136,0.8793993760667136,True,pearson_level
SLEEP_POD_SUEDE,PEBBLES_XS,sleep_pods,pebbles,-0.879139456549453,0.879139456549453,True,pearson_level
MICROCHIP_OVAL,PEBBLES_S,microchips,pebbles,0.8780761677026365,0.8780761677026365,True,pearson_level
PEBBLES_XL,PANEL_2X4,pebbles,panels,0.8762561570063178,0.8762561570063178,True,pearson_level
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,sleep_pods,sleep_pods,0.8752369904279045,0.8752369904279045,False,pearson_level
ROBOT_MOPPING,PANEL_1X4,robots,panels,-0.875148275717573,0.875148275717573,True,pearson_level
SLEEP_POD_POLYESTER,SNACKPACK_STRAWBERRY,sleep_pods,snackpacks,0.8751293286642039,0.8751293286642039,True,pearson_level
MICROCHIP_OVAL,UV_VISOR_AMBER,microchips,uv_visors,0.8712661769666958,0.8712661769666958,True,pearson_level
MICROCHIP_OVAL,ROBOT_VACUUMING,microchips,robots,0.8709724095252637,0.8709724095252637,True,pearson_level
MICROCHIP_OVAL,MICROCHIP_TRIANGLE,microchips,microchips,0.8704587961153705,0.8704587961153705,False,pearson_level
MICROCHIP_OVAL,PEBBLES_XS,microchips,pebbles,0.8704321037497369,0.8704321037497369,True,pearson_level
UV_VISOR_AMBER,UV_VISOR_MAGENTA,uv_visors,uv_visors,-0.867276220686244,0.867276220686244,False,pearson_level
MICROCHIP_OVAL,ROBOT_LAUNDRY,microchips,robots,0.8618805243307176,0.8618805243307176,True,pearson_level
PEBBLES_XS,PANEL_2X4,pebbles,panels,-0.8596683206195259,0.8596683206195259,True,pearson_level
SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,sleep_pods,sleep_pods,0.8596166475986858,0.8596166475986858,False,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_OVAL,galaxy_sounds,microchips,-0.8586018644290404,0.8586018644290404,True,pearson_level
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,sleep_pods,uv_visors,0.8582018081201666,0.8582018081201666,True,pearson_level
PEBBLES_M,OXYGEN_SHAKE_MORNING_BREATH,pebbles,oxygen_shakes,-0.857645778553517,0.857645778553517,True,pearson_level
MICROCHIP_TRIANGLE,ROBOT_LAUNDRY,microchips,robots,0.856255321075568,0.856255321075568,True,pearson_level
PEBBLES_XL,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,0.8531837227851208,0.8531837227851208,True,pearson_level
MICROCHIP_TRIANGLE,UV_VISOR_RED,microchips,uv_visors,-0.8523548245067996,0.8523548245067996,True,pearson_level
PEBBLES_XS,ROBOT_VACUUMING,pebbles,robots,0.8519409506156891,0.8519409506156891,True,pearson_level
PEBBLES_XS,SNACKPACK_STRAWBERRY,pebbles,snackpacks,-0.8504540181304768,0.8504540181304768,True,pearson_level
ROBOT_IRONING,PANEL_1X4,robots,panels,0.8486132148695831,0.8486132148695831,True,pearson_level
SLEEP_POD_SUEDE,UV_VISOR_MAGENTA,sleep_pods,uv_visors,0.8479262583205713,0.8479262583205713,True,pearson_level
MICROCHIP_OVAL,OXYGEN_SHAKE_GARLIC,microchips,oxygen_shakes,-0.8468219501354766,0.8468219501354766,True,pearson_level
PEBBLES_XS,UV_VISOR_MAGENTA,pebbles,uv_visors,-0.8456362211136017,0.8456362211136017,True,pearson_level
ROBOT_LAUNDRY,PANEL_2X2,robots,panels,0.8438259735102404,0.8438259735102404,True,pearson_level
MICROCHIP_RECTANGLE,PEBBLES_XS,microchips,pebbles,0.8430428409745448,0.8430428409745448,True,pearson_level
PANEL_2X4,OXYGEN_SHAKE_GARLIC,panels,oxygen_shakes,0.8428359272688238,0.8428359272688238,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,MICROCHIP_TRIANGLE,galaxy_sounds,microchips,-0.8418525444606354,0.8418525444606354,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,ROBOT_DISHES,galaxy_sounds,robots,0.8391011310368544,0.8391011310368544,True,pearson_level
ROBOT_VACUUMING,UV_VISOR_AMBER,robots,uv_visors,0.8374542581515411,0.8374542581515411,True,pearson_level
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,-0.8343570524569902,0.8343570524569902,False,pearson_level
MICROCHIP_TRIANGLE,PEBBLES_S,microchips,pebbles,0.8336147596497361,0.8336147596497361,True,pearson_level
PEBBLES_XS,TRANSLATOR_VOID_BLUE,pebbles,translators,-0.8315898594636075,0.8315898594636075,True,pearson_level
PEBBLES_XS,OXYGEN_SHAKE_GARLIC,pebbles,oxygen_shakes,-0.830513002365132,0.830513002365132,True,pearson_level
SLEEP_POD_COTTON,UV_VISOR_AMBER,sleep_pods,uv_visors,-0.8303442504606434,0.8303442504606434,True,pearson_level
UV_VISOR_AMBER,TRANSLATOR_VOID_BLUE,uv_visors,translators,-0.829784978200612,0.829784978200612,True,pearson_level
MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,microchips,oxygen_shakes,0.829620618428056,0.829620618428056,True,pearson_level
PEBBLES_S,PANEL_2X4,pebbles,panels,-0.8293050407569393,0.8293050407569393,True,pearson_level
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,galaxy_sounds,panels,-0.8286971105314049,0.8286971105314049,True,pearson_level
PEBBLES_S,ROBOT_DISHES,pebbles,robots,-0.8286543429403209,0.8286543429403209,True,pearson_level
MICROCHIP_OVAL,ROBOT_DISHES,microchips,robots,-0.8284567818569836,0.8284567818569836,True,pearson_level
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,-0.8275696574563156,0.8275696574563156,False,pearson_level
MICROCHIP_SQUARE,UV_VISOR_MAGENTA,microchips,uv_visors,0.8274619003372925,0.8274619003372925,True,pearson_level
SLEEP_POD_SUEDE,TRANSLATOR_ASTRO_BLACK,sleep_pods,translators,-0.8231538093263282,0.8231538093263282,True,pearson_level
UV_VISOR_AMBER,OXYGEN_SHAKE_GARLIC,uv_visors,oxygen_shakes,-0.8222009772221799,0.8222009772221799,True,pearson_level
UV_VISOR_MAGENTA,TRANSLATOR_VOID_BLUE,uv_visors,translators,0.8216761167539444,0.8216761167539444,True,pearson_level
SLEEP_POD_SUEDE,TRANSLATOR_VOID_BLUE,sleep_pods,translators,0.8184613674229054,0.8184613674229054,True,pearson_level
MICROCHIP_OVAL,PANEL_2X4,microchips,panels,-0.8183961951068052,0.8183961951068052,True,pearson_level
UV_VISOR_RED,PANEL_2X2,uv_visors,panels,-0.8174364371646685,0.8174364371646685,True,pearson_level
MICROCHIP_SQUARE,TRANSLATOR_ASTRO_BLACK,microchips,translators,-0.817330991435823,0.817330991435823,True,pearson_level
ROBOT_MOPPING,OXYGEN_SHAKE_MORNING_BREATH,robots,oxygen_shakes,-0.817303816285805,0.817303816285805,True,pearson_level
MICROCHIP_OVAL,PANEL_1X4,microchips,panels,0.8166443442110974,0.8166443442110974,True,pearson_level
PEBBLES_M,ROBOT_IRONING,pebbles,robots,-0.8165655606171345,0.8165655606171345,True,pearson_level
ROBOT_DISHES,UV_VISOR_AMBER,robots,uv_visors,-0.8164104852697858,0.8164104852697858,True,pearson_level
ROBOT_IRONING,OXYGEN_SHAKE_GARLIC,robots,oxygen_shakes,-0.8160682789960128,0.8160682789960128,True,pearson_level
MICROCHIP_RECTANGLE,TRANSLATOR_ASTRO_BLACK,microchips,translators,0.8159876203984737,0.8159876203984737,True,pearson_level
ROBOT_MOPPING,ROBOT_IRONING,robots,robots,-0.8151808624074376,0.8151808624074376,False,pearson_level
MICROCHIP_RECTANGLE,UV_VISOR_AMBER,microchips,uv_visors,0.815167015574911,0.815167015574911,True,pearson_level
SLEEP_POD_SUEDE,MICROCHIP_RECTANGLE,sleep_pods,microchips,-0.8149470449702223,0.8149470449702223,True,pearson_level
PEBBLES_S,UV_VISOR_AMBER,pebbles,uv_visors,0.8133455924672123,0.8133455924672123,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,PANEL_2X4,galaxy_sounds,panels,0.8121814965157859,0.8121814965157859,True,pearson_level
SLEEP_POD_POLYESTER,MICROCHIP_OVAL,sleep_pods,microchips,-0.8116943192533355,0.8116943192533355,True,pearson_level
UV_VISOR_AMBER,PANEL_2X4,uv_visors,panels,-0.8106920449084074,0.8106920449084074,True,pearson_level
PANEL_1X4,OXYGEN_SHAKE_MORNING_BREATH,panels,oxygen_shakes,0.8105477188395908,0.8105477188395908,True,pearson_level
PEBBLES_XL,TRANSLATOR_VOID_BLUE,pebbles,translators,0.80936933351071,0.80936933351071,True,pearson_level
PEBBLES_S,UV_VISOR_RED,pebbles,uv_visors,-0.8055990789602336,0.8055990789602336,True,pearson_level
PEBBLES_XS,ROBOT_IRONING,pebbles,robots,0.8048960333956806,0.8048960333956806,True,pearson_level
MICROCHIP_SQUARE,ROBOT_VACUUMING,microchips,robots,-0.8045050636580683,0.8045050636580683,True,pearson_level
SLEEP_POD_SUEDE,ROBOT_VACUUMING,sleep_pods,robots,-0.8039756989063501,0.8039756989063501,True,pearson_level
TRANSLATOR_VOID_BLUE,SNACKPACK_STRAWBERRY,translators,snackpacks,0.8037969997139924,0.8037969997139924,True,pearson_level
MICROCHIP_SQUARE,SNACKPACK_STRAWBERRY,microchips,snackpacks,0.8027321331292617,0.8027321331292617,True,pearson_level
PEBBLES_XL,ROBOT_DISHES,pebbles,robots,0.8022741865997045,0.8022741865997045,True,pearson_level
ROBOT_VACUUMING,PANEL_1X4,robots,panels,0.8011146224505526,0.8011146224505526,True,pearson_level
MICROCHIP_TRIANGLE,PANEL_2X2,microchips,panels,0.8010630552645792,0.8010630552645792,True,pearson_level
ROBOT_LAUNDRY,UV_VISOR_RED,robots,uv_visors,-0.8008478558209796,0.8008478558209796,True,pearson_level
ROBOT_IRONING,OXYGEN_SHAKE_MORNING_BREATH,robots,oxygen_shakes,0.8007975254302826,0.8007975254302826,True,pearson_level
PEBBLES_M,PANEL_1X4,pebbles,panels,-0.7998101447914866,0.7998101447914866,True,pearson_level
PEBBLES_XS,PEBBLES_S,pebbles,pebbles,0.7982724958895946,0.7982724958895946,False,pearson_level
ROBOT_DISHES,OXYGEN_SHAKE_GARLIC,robots,oxygen_shakes,0.7980981421412505,0.7980981421412505,True,pearson_level
ROBOT_IRONING,UV_VISOR_AMBER,robots,uv_visors,0.7978815397948072,0.7978815397948072,True,pearson_level
SLEEP_POD_POLYESTER,ROBOT_VACUUMING,sleep_pods,robots,-0.7969745943374781,0.7969745943374781,True,pearson_level
PEBBLES_S,ROBOT_IRONING,pebbles,robots,0.7963168670601876,0.7963168670601876,True,pearson_level
MICROCHIP_TRIANGLE,ROBOT_DISHES,microchips,robots,-0.7938637038695279,0.7938637038695279,True,pearson_level
PEBBLES_XL,UV_VISOR_AMBER,pebbles,uv_visors,-0.7928797234142737,0.7928797234142737,True,pearson_level
GALAXY_SOUNDS_BLACK_HOLES,UV_VISOR_AMBER,galaxy_sounds,uv_visors,-0.7920437047999511,0.7920437047999511,True,pearson_level
ROBOT_VACUUMING,OXYGEN_SHAKE_MORNING_BREATH,robots,oxygen_shakes,0.7917630882997028,0.7917630882997028,True,pearson_level
SLEEP_POD_NYLON,MICROCHIP_TRIANGLE,sleep_pods,microchips,-0.7911452316152932,0.7911452316152932,True,pearson_level
PEBBLES_XS,TRANSLATOR_ASTRO_BLACK,pebbles,translators,0.7907393109784717,0.7907393109784717,True,pearson_level
