a,b,group_a,group_b,corr,abs_corr,cross_group,label
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,snackpacks,snackpacks,-0.9237847012818318,0.9237847012818318,False,pearson_ret
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,-0.9159263257745487,0.9159263257745487,False,pearson_ret
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,0.9132915988764274,0.9132915988764274,False,pearson_ret
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,snackpacks,snackpacks,-0.8309456090275332,0.8309456090275332,False,pearson_ret
PEBBLES_M,PEBBLES_XL,pebbles,pebbles,-0.511539238496931,0.511539238496931,False,pearson_ret
PEBBLES_L,PEBBLES_XL,pebbles,pebbles,-0.5000250243991764,0.5000250243991764,False,pearson_ret
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,-0.4972889378953001,0.4972889378953001,False,pearson_ret
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,-0.4956258053732605,0.4956258053732605,False,pearson_ret
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,snackpacks,snackpacks,0.0397091810415346,0.0397091810415346,False,pearson_ret
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,0.03110640581843242,0.03110640581843242,False,pearson_ret
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,snackpacks,snackpacks,0.030729349704220504,0.030729349704220504,False,pearson_ret
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,oxygen_shakes,snackpacks,0.02802211423870634,0.02802211423870634,True,pearson_ret
GALAXY_SOUNDS_PLANETARY_RINGS,SNACKPACK_PISTACHIO,galaxy_sounds,snackpacks,0.02584137587388224,0.02584137587388224,True,pearson_ret
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,snackpacks,snackpacks,0.024861690029625037,0.024861690029625037,False,pearson_ret
ROBOT_MOPPING,SNACKPACK_RASPBERRY,robots,snackpacks,0.024537669883041298,0.024537669883041298,True,pearson_ret
UV_VISOR_MAGENTA,SNACKPACK_PISTACHIO,uv_visors,snackpacks,0.023197088428929664,0.023197088428929664,True,pearson_ret
UV_VISOR_RED,SNACKPACK_PISTACHIO,uv_visors,snackpacks,0.02316052247923581,0.02316052247923581,True,pearson_ret
UV_VISOR_RED,SNACKPACK_STRAWBERRY,uv_visors,snackpacks,0.023039605169428393,0.023039605169428393,True,pearson_ret
