a,b,group_a,group_b,corr,abs_corr,cross_group,label
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,snackpacks,snackpacks,-0.919435544919712,0.919435544919712,False,spearman_ret
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,snackpacks,snackpacks,-0.9124215292320802,0.9124215292320802,False,spearman_ret
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,0.9066808688010415,0.9066808688010415,False,spearman_ret
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,snackpacks,snackpacks,-0.8238057628121325,0.8238057628121325,False,spearman_ret
PEBBLES_M,PEBBLES_XL,pebbles,pebbles,-0.49393299601520596,0.49393299601520596,False,spearman_ret
PEBBLES_L,PEBBLES_XL,pebbles,pebbles,-0.48358339120160226,0.48358339120160226,False,spearman_ret
PEBBLES_XS,PEBBLES_XL,pebbles,pebbles,-0.48068127344685463,0.48068127344685463,False,spearman_ret
PEBBLES_S,PEBBLES_XL,pebbles,pebbles,-0.4791919308456327,0.4791919308456327,False,spearman_ret
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,snackpacks,snackpacks,0.03606555591808823,0.03606555591808823,False,spearman_ret
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,snackpacks,snackpacks,0.029401995998258598,0.029401995998258598,False,spearman_ret
GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_EVENING_BREATH,galaxy_sounds,oxygen_shakes,0.028427949939081147,0.028427949939081147,True,spearman_ret
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,snackpacks,snackpacks,0.027472399662879288,0.027472399662879288,False,spearman_ret
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,oxygen_shakes,snackpacks,0.026181859426516466,0.026181859426516466,True,spearman_ret
UV_VISOR_RED,SNACKPACK_PISTACHIO,uv_visors,snackpacks,0.02557484860986105,0.02557484860986105,True,spearman_ret
GALAXY_SOUNDS_PLANETARY_RINGS,SNACKPACK_PISTACHIO,galaxy_sounds,snackpacks,0.024939849203879608,0.024939849203879608,True,spearman_ret
UV_VISOR_RED,SNACKPACK_STRAWBERRY,uv_visors,snackpacks,0.024868016680733043,0.024868016680733043,True,spearman_ret
ROBOT_IRONING,SNACKPACK_CHOCOLATE,robots,snackpacks,0.024650257250337492,0.024650257250337492,True,spearman_ret
UV_VISOR_AMBER,OXYGEN_SHAKE_EVENING_BREATH,uv_visors,oxygen_shakes,0.024352426703026585,0.024352426703026585,True,spearman_ret
UV_VISOR_ORANGE,SNACKPACK_PISTACHIO,uv_visors,snackpacks,0.024186035207021853,0.024186035207021853,True,spearman_ret
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_CHOCOLATE,oxygen_shakes,snackpacks,0.02414373496892292,0.02414373496892292,True,spearman_ret
ROBOT_MOPPING,SNACKPACK_RASPBERRY,robots,snackpacks,0.023194408670653904,0.023194408670653904,True,spearman_ret
TRANSLATOR_ASTRO_BLACK,SNACKPACK_PISTACHIO,translators,snackpacks,0.022803745382442845,0.022803745382442845,True,spearman_ret
ROBOT_IRONING,SNACKPACK_PISTACHIO,robots,snackpacks,0.022090521947229522,0.022090521947229522,True,spearman_ret
SLEEP_POD_NYLON,ROBOT_IRONING,sleep_pods,robots,0.021987654325226192,0.021987654325226192,True,spearman_ret
TRANSLATOR_ASTRO_BLACK,SNACKPACK_STRAWBERRY,translators,snackpacks,0.021737519950042902,0.021737519950042902,True,spearman_ret
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,snackpacks,snackpacks,0.021717204648211547,0.021717204648211547,False,spearman_ret
TRANSLATOR_ECLIPSE_CHARCOAL,SNACKPACK_PISTACHIO,translators,snackpacks,0.02170199671753172,0.02170199671753172,True,spearman_ret
OXYGEN_SHAKE_EVENING_BREATH,SNACKPACK_RASPBERRY,oxygen_shakes,snackpacks,0.021232187676422182,0.021232187676422182,True,spearman_ret
ROBOT_IRONING,UV_VISOR_AMBER,robots,uv_visors,0.021153040236441673,0.021153040236441673,True,spearman_ret
SLEEP_POD_NYLON,SNACKPACK_RASPBERRY,sleep_pods,snackpacks,0.021008944905928435,0.021008944905928435,True,spearman_ret
