g_lo,g_hi,a,b,pearson_level,pearson_ret,abs_level,abs_ret,joint_score,group_a,group_b,cross_group
snackpacks,uv_visors,UV_VISOR_MAGENTA,SNACKPACK_STRAWBERRY,0.7608468838501626,0.021086618425358937,0.7608468838501626,0.021086618425358937,0.12666368035025577,uv_visors,snackpacks,True
microchips,robots,MICROCHIP_OVAL,ROBOT_IRONING,0.8823250697613839,0.017665758744429452,0.8823250697613839,0.017665758744429452,0.1248476744539781,microchips,robots,True
pebbles,translators,PEBBLES_XS,TRANSLATOR_VOID_BLUE,-0.8315898594636075,-0.018006812183055766,0.8315898594636075,0.018006812183055766,0.12236945048783589,pebbles,translators,True
galaxy_sounds,oxygen_shakes,GALAXY_SOUNDS_BLACK_HOLES,OXYGEN_SHAKE_GARLIC,0.8853271795478015,0.016325995443109313,0.8853271795478015,0.016325995443109313,0.12022415522247694,galaxy_sounds,oxygen_shakes,True
snackpacks,translators,TRANSLATOR_ASTRO_BLACK,SNACKPACK_PISTACHIO,0.6282416158854284,0.02247766655235647,0.6282416158854284,0.02247766655235647,0.11883352033911254,translators,snackpacks,True
galaxy_sounds,translators,GALAXY_SOUNDS_SOLAR_WINDS,TRANSLATOR_GRAPHITE_MIST,0.6335618307138061,0.022096043418445878,0.6335618307138061,0.022096043418445878,0.11831825607116729,galaxy_sounds,translators,True
galaxy_sounds,uv_visors,GALAXY_SOUNDS_DARK_MATTER,UV_VISOR_YELLOW,0.7680734649521075,0.017093909919652008,0.7680734649521075,0.017093909919652008,0.11458350065156117,galaxy_sounds,uv_visors,True
sleep_pods,uv_visors,SLEEP_POD_SUEDE,UV_VISOR_AMBER,-0.8909262809414851,0.014290670047517355,0.8909262809414851,0.014290670047517355,0.1128358698180526,sleep_pods,uv_visors,True
galaxy_sounds,snackpacks,GALAXY_SOUNDS_BLACK_HOLES,SNACKPACK_CHOCOLATE,-0.6615888248930127,0.01905089352677161,0.6615888248930127,0.01905089352677161,0.11226690635061932,galaxy_sounds,snackpacks,True
oxygen_shakes,sleep_pods,SLEEP_POD_POLYESTER,OXYGEN_SHAKE_GARLIC,0.7399303417460049,0.016828611413351326,0.7399303417460049,0.016828611413351326,0.11158853074663079,sleep_pods,oxygen_shakes,True
robots,uv_visors,ROBOT_IRONING,UV_VISOR_AMBER,0.7978815397948072,0.015189132284119257,0.7978815397948072,0.015189132284119257,0.11008691227843613,robots,uv_visors,True
