target,k,basket,ols_beta,resid_var,r_squared,adf_p,half_life,S_idx,target_idx,basket_str
SNACKPACK_RASPBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO']","[1.305543227316246, 1.1260987623811805, -0.772261913612786]",13807.18288652491,0.5211788240312183,0.000817500144585848,621.3461915630962,"[0, 1, 2]",4,SNACKPACK_RASPBERRY − 1.306*SNACKPACK_CHOCOLATE − 1.126*SNACKPACK_VANILLA + 0.772*SNACKPACK_PISTACHIO
SNACKPACK_STRAWBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO']","[-3.521028363338531, -3.0876156535891, -0.0027796330235351783]",50049.033087708944,0.6213598559432069,0.001733641813288665,396.2545314023789,"[0, 1, 2]",3,SNACKPACK_STRAWBERRY + 3.521*SNACKPACK_CHOCOLATE + 3.088*SNACKPACK_VANILLA + 0.003*SNACKPACK_PISTACHIO
SNACKPACK_CHOCOLATE,3,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[0.37157003454157006, -0.1981135086710531, 0.0830793303419275]",25761.0265927451,0.36064997942345867,0.0071326911920665936,802.4563640826367,"[2, 3, 4]",0,SNACKPACK_CHOCOLATE − 0.372*SNACKPACK_PISTACHIO + 0.198*SNACKPACK_STRAWBERRY − 0.083*SNACKPACK_RASPBERRY
SNACKPACK_PISTACHIO,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_RASPBERRY']","[1.4386821032564296, 1.1826029009348706, -0.6547962840440896]",11707.028260553037,0.6669713487405088,0.015647250139612535,970.7790465598939,"[0, 1, 4]",2,SNACKPACK_PISTACHIO − 1.439*SNACKPACK_CHOCOLATE − 1.183*SNACKPACK_VANILLA + 0.655*SNACKPACK_RASPBERRY
SNACKPACK_VANILLA,3,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[-0.28148231491270764, 0.060500492026101214, -0.07792931920784299]",27851.69560319423,0.12598576601284506,0.016582883399654073,891.4957684008357,"[2, 3, 4]",1,SNACKPACK_VANILLA + 0.281*SNACKPACK_PISTACHIO − 0.061*SNACKPACK_STRAWBERRY + 0.078*SNACKPACK_RASPBERRY
SNACKPACK_PISTACHIO,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[1.1764019447127545, 0.8966323327985004, -0.0013152963037136773]",23682.733536165146,0.3262996695529957,0.019534761509160843,934.4502464202053,"[0, 1, 3]",2,SNACKPACK_PISTACHIO − 1.176*SNACKPACK_CHOCOLATE − 0.897*SNACKPACK_VANILLA + 0.001*SNACKPACK_STRAWBERRY
SNACKPACK_CHOCOLATE,3,"['SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY']","[-0.9223144487373535, 0.10338812080282647, -0.14642679893916258]",2081.3577593804876,0.9483438238962953,0.02460959389674531,373.6628181175668,"[1, 2, 3]",0,SNACKPACK_CHOCOLATE + 0.922*SNACKPACK_VANILLA − 0.103*SNACKPACK_PISTACHIO + 0.146*SNACKPACK_STRAWBERRY
SNACKPACK_CHOCOLATE,3,"['SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[-0.9317038180461469, -0.1857417916469531, -0.08851717348047902]",2187.0594388768804,0.9457204668372243,0.026790373946339388,336.6928877695276,"[1, 3, 4]",0,SNACKPACK_CHOCOLATE + 0.932*SNACKPACK_VANILLA + 0.186*SNACKPACK_STRAWBERRY + 0.089*SNACKPACK_RASPBERRY
SNACKPACK_STRAWBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_RASPBERRY']","[-3.2715312979422086, -2.813535937864257, -0.6424327186572462]",38521.397588031716,0.7085708427885032,0.028586705615543797,444.00698229274275,"[0, 1, 4]",3,SNACKPACK_STRAWBERRY + 3.272*SNACKPACK_CHOCOLATE + 2.814*SNACKPACK_VANILLA + 0.642*SNACKPACK_RASPBERRY
SNACKPACK_RASPBERRY,3,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[-0.8700887118750107, -0.6773670714689477, -0.358527273815311]",21497.926957486103,0.2544704628544795,0.03086291278451445,725.7014329773956,"[0, 1, 3]",4,SNACKPACK_RASPBERRY + 0.870*SNACKPACK_CHOCOLATE + 0.677*SNACKPACK_VANILLA + 0.359*SNACKPACK_STRAWBERRY
