target,k,basket,ols_beta,int_coefs,int_basket_str,ols_resid_std_ratio,int_resid_std_ratio,int_resid_inflation,max_abs_coef,int_adf_p,int_half_life
SNACKPACK_RASPBERRY,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA']","[0.3934729797784526, 0.4305249625952843]","[1, 1]",SNACKPACK_RASPBERRY − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.9841924957035155,1.0228706698683252,1.0392993995927209,1,0.0011104478097640597,619.8186465860567
SNACKPACK_CHOCOLATE,2,"['SNACKPACK_PISTACHIO', 'SNACKPACK_RASPBERRY']","[0.7017913868043535, 0.43985782349942854]","[1, 1]",SNACKPACK_CHOCOLATE − SNACKPACK_PISTACHIO − SNACKPACK_RASPBERRY,0.8212655694602633,0.9194096456088735,1.1195034588057926,1,0.0039201668992988456,747.8703058425976
SNACKPACK_STRAWBERRY,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA']","[-3.524311214059448, -3.0901192600341543]","[-4, -4]",SNACKPACK_STRAWBERRY + 4*SNACKPACK_CHOCOLATE + 4*SNACKPACK_VANILLA,0.6153385477814314,0.6556950643131226,1.0655842489913794,4,0.0043819088117657825,385.5856428605497
SNACKPACK_PISTACHIO,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_STRAWBERRY']","[0.30600480749905123, -0.13613905707696214]","[1, 0]",SNACKPACK_PISTACHIO − SNACKPACK_CHOCOLATE,0.854048066496022,1.067188089880708,1.2495644352420985,1,0.004638106270147181,774.8275369554922
SNACKPACK_CHOCOLATE,2,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY']","[0.3080465820620962, -0.22861773167804972]","[1, 0]",SNACKPACK_CHOCOLATE − SNACKPACK_PISTACHIO,0.8003808316364894,0.9968074212030212,1.2454164090423185,1,0.004638106270147181,774.8275369554922
SNACKPACK_VANILLA,2,"['SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[0.17379400247841925, 0.17697234787088312]","[0, 1]",SNACKPACK_VANILLA − SNACKPACK_RASPBERRY,0.9463957279652981,1.3649703615695925,1.4422828857271028,1,0.00517479575965429,773.7142906030318
SNACKPACK_RASPBERRY,2,"['SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[0.1444208810075105, -0.21334694881760072]","[1, 0]",SNACKPACK_RASPBERRY − SNACKPACK_VANILLA,0.8987435009049745,1.4349075621411171,1.5965707242347362,1,0.00517479575965429,773.7142906030318
SNACKPACK_PISTACHIO,2,"['SNACKPACK_VANILLA', 'SNACKPACK_STRAWBERRY']","[-0.2144646533369701, -0.19760610473552154]","[-1, 0]",SNACKPACK_PISTACHIO + SNACKPACK_VANILLA,0.8757772124760983,1.1446460400520169,1.3070059642403136,1,0.00790771516215607,826.274759480583
SNACKPACK_VANILLA,2,"['SNACKPACK_PISTACHIO', 'SNACKPACK_STRAWBERRY']","[-0.22189662271847382, 0.08911378635714355]","[-1, 0]",SNACKPACK_VANILLA + SNACKPACK_PISTACHIO,0.9356363613728632,1.2022289370177872,1.2849318246393842,1,0.00790771516215607,826.274759480583
SNACKPACK_STRAWBERRY,2,"['SNACKPACK_VANILLA', 'SNACKPACK_PISTACHIO']","[0.3300386876877104, -0.757208149696558]","[0, -1]",SNACKPACK_STRAWBERRY + SNACKPACK_PISTACHIO,0.8840953747564623,0.9004745585309479,1.018526489609786,1,0.009474689500199834,866.0167660229947
SNACKPACK_CHOCOLATE,2,"['SNACKPACK_STRAWBERRY', 'SNACKPACK_RASPBERRY']","[-0.34766632730961783, -0.25340298568037173]","[0, 1]",SNACKPACK_CHOCOLATE − SNACKPACK_RASPBERRY,0.8180386618535963,1.279724576076745,1.564381533235866,1,0.013776656582963837,898.2925249313959
SNACKPACK_RASPBERRY,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_STRAWBERRY']","[-0.21254119960846646, -0.2566737351253018]","[1, 0]",SNACKPACK_RASPBERRY − SNACKPACK_CHOCOLATE,0.8855965306833486,1.5127351115431324,1.7081538365737134,1,0.013776656582963892,898.2925249313959
SNACKPACK_VANILLA,2,"['SNACKPACK_PISTACHIO', 'SNACKPACK_RASPBERRY']","[-0.38232629280921343, -0.1868833957125396]","[-1, -1]",SNACKPACK_VANILLA + SNACKPACK_PISTACHIO + SNACKPACK_RASPBERRY,0.937099974123846,1.182438337440781,1.2618059653094296,1,0.014933738554063783,851.0433870070099
SNACKPACK_STRAWBERRY,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_PISTACHIO']","[-0.7756283166975372, -0.46495896697061506]","[-1, 0]",SNACKPACK_STRAWBERRY + SNACKPACK_CHOCOLATE,0.8139472780547508,0.8410725675880152,1.0333256099806503,1,0.021123307250456438,1069.101088816823
SNACKPACK_PISTACHIO,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_VANILLA']","[1.181037458225744, 0.9006967552392579]","[1, 1]",SNACKPACK_PISTACHIO − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.8207940018860196,0.8684131538409804,1.0580159599674726,1,0.04328840977401354,1197.9040709311214
SNACKPACK_STRAWBERRY,2,"['SNACKPACK_PISTACHIO', 'SNACKPACK_RASPBERRY']","[-1.6668290541009074, -1.8008791805807378]","[-2, -2]",SNACKPACK_STRAWBERRY + 2*SNACKPACK_PISTACHIO + 2*SNACKPACK_RASPBERRY,0.5223178590639735,0.5432230911606023,1.040023965740119,2,0.06356004306478787,787.391800003284
SNACKPACK_STRAWBERRY,2,"['SNACKPACK_CHOCOLATE', 'SNACKPACK_RASPBERRY']","[-0.9474277900811199, -0.8339375323440927]","[-1, -1]",SNACKPACK_STRAWBERRY + SNACKPACK_CHOCOLATE + SNACKPACK_RASPBERRY,0.7455783665151575,0.750301974016658,1.0063354943137348,1,0.08010663584989403,1481.8680489696058
