section,recipe,p_value,half_life
§9 best product-vs-index residual,SNACKPACK_RASPBERRY − (10077.81 + 349.933·index),0.0007537592340713025,587.0298492562357
§10 best continuous K=3,SNACKPACK_RASPBERRY − 1.306*SNACKPACK_CHOCOLATE − 1.126*SNACKPACK_VANILLA + 0.772*SNACKPACK_PISTACHIO,0.000817500144585848,621.3461915630962
§10 best continuous K=2,SNACKPACK_RASPBERRY − 0.393*SNACKPACK_CHOCOLATE − 0.431*SNACKPACK_VANILLA,0.0009317716808728746,606.5642778310304
§11 best integer K=2,SNACKPACK_RASPBERRY − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.0011104478097640597,619.8186465860567
§11 best integer K=3,SNACKPACK_RASPBERRY − SNACKPACK_CHOCOLATE − SNACKPACK_VANILLA,0.0011104478097640597,619.8186465860567
§12 best pure integer k=2,SNACKPACK_VANILLA − 4*SNACKPACK_RASPBERRY,0.0012499547741931134,631.6811625628983
§10 best continuous K=1,SNACKPACK_RASPBERRY − 0.021*SNACKPACK_VANILLA,0.0012530643385654187,623.6196636162139
§12 best pure integer k=3,− 4*SNACKPACK_CHOCOLATE − 4*SNACKPACK_VANILLA − SNACKPACK_STRAWBERRY,0.0043819088117657825,385.5856428605497
§12 best pure integer k=4,− 4*SNACKPACK_CHOCOLATE − 4*SNACKPACK_VANILLA − SNACKPACK_STRAWBERRY,0.0043819088117657825,385.5856428605497
§7 best integer pair,SNACKPACK_CHOCOLATE − 1·SNACKPACK_PISTACHIO,0.004638106270147181,774.8275369554922
§11 best integer K=1,SNACKPACK_PISTACHIO − SNACKPACK_CHOCOLATE,0.004638106270147181,774.8275369554922
§11 best integer K=4,SNACKPACK_STRAWBERRY + 2*SNACKPACK_CHOCOLATE + 2*SNACKPACK_VANILLA + SNACKPACK_PISTACHIO + SNACKPACK_RASPBERRY,0.011736676344624485,408.2806114943499
§10 best continuous K=4,SNACKPACK_CHOCOLATE + 0.922*SNACKPACK_VANILLA − 0.112*SNACKPACK_PISTACHIO + 0.142*SNACKPACK_STRAWBERRY − 0.011*SNACKPACK_RASPBERRY,0.02323963897852043,377.45615163468517
§6 best OLS pair,SNACKPACK_PISTACHIO − -0.228·SNACKPACK_STRAWBERRY,0.028124460023333745,806.1858636656713
§12 best pure integer k=5,4*SNACKPACK_CHOCOLATE + 4*SNACKPACK_VANILLA − SNACKPACK_PISTACHIO − SNACKPACK_RASPBERRY,0.07988831011271375,699.8390405102771
