a,b,corr_at_0,peak_corr,peak_abs,peak_lag,interpretation
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,-0.9237847012818385,-0.9237847012818385,0.9237847012818385,0,contemporaneous
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,-0.9159263257745413,-0.9159263257745413,0.9159263257745413,0,contemporaneous
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,0.9132915988764264,0.9132915988764264,0.9132915988764264,0,contemporaneous
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,-0.8309456090275434,-0.8309456090275434,0.8309456090275434,0,contemporaneous
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,0.03970918104153428,0.03970918104153428,0.03970918104153428,0,contemporaneous
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.031106405818432537,0.031106405818432537,0.031106405818432537,0,contemporaneous
SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.0307293497042205,0.0307293497042205,0.0307293497042205,0,contemporaneous
SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.024861690029625093,0.024861690029625093,0.024861690029625093,0,contemporaneous
SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,0.016796615750091615,0.016796615750091615,0.016796615750091615,0,contemporaneous
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.014429816462455017,0.014429816462455017,0.014429816462455017,0,contemporaneous
